Dorothee Bär,1,1,1,1,0
Dorothee Martin,0,0,1,1,0
Dorothee Menzner,1,0,0,0,0
Dr. Achim Kessler,0,0,1,0,0
Dr. Alexander Gauland,0,0,1,1,0
Dr. Alexander S. Neu,0,1,1,0,0
Dr. Alice Weidel,0,0,1,1,0
Dr. Andre Berghegger,0,1,0,0,0
Dr. Andre Hahn,0,1,0,0,0
Dr. Andreas Lenz,0,1,1,1,0
Dr. Andreas Nick,0,1,1,0,0
Dr. Andreas Philippi,0,0,0,1,0
Dr. Andreas Scheuer,1,0,0,0,0
Dr. Andreas Schockenhoff,1,1,0,0,0
Dr. Andrew Ullmann,0,0,1,1,0
Dr. André Berghegger,0,1,1,1,0
Dr. André Hahn,0,1,1,1,0
Dr. Angela Merkel,1,1,1,0,0
Dr. Anja Reinalter,0,0,0,1,0
Dr. Anja Weisgerber,0,1,1,1,0
Dr. Ann-Veruschka Jurisch,0,0,0,1,0
Dr. Anna Christmann,0,0,1,1,0
Dr. Anna Lührmann,0,0,0,1,0
Dr. Anne Monika Spallek,0,0,0,1,0
Dr. Annette Schavan,1,1,0,0,0
Dr. Anton Friesen,0,0,1,0,0
Dr. Anton Hofreiter,1,1,1,1,0
Dr. Armin Grau,0,0,0,1,0
Dr. Astrid Freudenstein,0,1,1,0,0
Dr. Astrid Mannes,0,0,1,1,0
Dr. Axel Gehrke,0,0,1,0,0
Dr. Axel Troost,1,1,1,0,0
Dr. Barbara Hendricks,1,1,1,0,0
Dr. Barbara Höll,1,0,0,0,0
Dr. Bernd Baumann,0,0,1,1,0
Dr. Bernd Fabritius,0,1,0,0,0
Dr. Bettina Hoffmann,0,0,1,1,0
Dr. Birgit Malecha-Nissen,0,1,0,0,0
Dr. Birgit Malsack-Winkemann,0,0,1,0,0
Dr. Birgit Reinemund,1,0,0,0,0
Dr. Birke Bull-Bischoff,0,0,1,0,0
Dr. Bruno Hollnagel,0,0,1,0,0
Dr. Bärbel Kofler,1,1,1,1,0
Dr. Carola Reimann,1,1,0,0,0
Dr. Carolin Wagner,0,0,0,1,0
Dr. Carsten  Sieling,1,0,0,0,0
Dr. Carsten Brodesser,0,0,1,1,0
Dr. Carsten Linnemann,1,1,1,1,0
Dr. Carsten Sieling,1,1,0,0,0
Dr. Christel Happach-Kasan,1,0,0,0,0
Dr. Christian Jung,0,0,1,0,0
Dr. Christian Ruck,1,0,0,0,0
Dr. Christian Wirth,0,0,1,1,0
Dr. Christiane Ratjen-Damerau,1,0,0,0,0
Dr. Christiane Schenderlein,0,0,0,1,0
Dr. Christina Baum,0,0,0,1,0
Dr. Christoph Bergner,1,1,0,0,0
Dr. Christoph Hoffmann,0,0,1,1,0
Dr. Christoph Ploß,0,0,1,1,0
Dr. Christopher Gohl,0,0,1,0,0
Dr. Christos Pantazis,0,0,0,1,0
Dr. Claudia Lücking-Michel,0,1,0,0,0
Dr. Claudia Schmidtke,0,0,1,0,0
Dr. Claudia Winterstein,1,0,0,0,0
Dr. Dagmar Enkelmann,1,0,0,0,0
Dr. Daniel Volk,1,0,0,0,0
Dr. Daniela De Ridder,0,1,1,1,0
Dr. Danyal Bayaz,0,0,1,0,0
Dr. Dieter Wiefelspütz,1,0,0,0,0
Dr. Diether Dehm,1,1,1,0,0
Dr. Dietlind Tiemann,0,0,1,0,0
Dr. Dietmar Bartsch,1,1,1,1,0
Dr. Dirk Spaniel,0,0,1,1,0
Dr. Dorothee Schlegel,0,1,0,0,0
Dr. Dr. h. c. Bernd Fabritius,0,0,1,0,0
Dr. Dr. h. c. Karl A. Lamers,0,0,1,0,0
Dr. Dr. h.c. Bernd Fabritius,0,1,0,0,0
Dr. Dr. h.c. Karl A. Lamers,0,1,1,0,0
Dr. Eberhard Brecht,0,0,1,0,0
Dr. Edgar Franke,1,1,1,1,0
Dr. Edmund Peter Geisen,1,0,0,0,0
Dr. Egon Jüttner,1,1,0,0,0
Dr. Erik Schweickert,1,0,0,0,0
