ID,Person
497,Dr. Patrick Sensburg
498,Dr. Paula Piechotta
499,Dr. Peter Danckert
500,Dr. Peter Gauweiler
501,Dr. Peter Ramsauer
502,Dr. Peter Röhlinger
503,Dr. Peter Tauber
504,Dr. Petra Sitte
505,Dr. Philipp Lengsfeld
506,Dr. Philipp Murmann
507,Dr. Rainer Kraft
508,Dr. Rainer Rothfuß
509,Dr. Rainer Stinner
510,Dr. Ralf Brauksiepe
511,Dr. Ralf Stegner
512,Dr. Reinhard Brandl
513,Dr. Robby Schlund
514,Dr. Robert Habeck
515,Dr. Roland Hartwig
516,Dr. Rolf Koschorrek
517,Dr. Rolf Mützenich
518,Dr. Rosemarie Hein
519,Dr. Roy Kühne
520,Dr. Sabine Sütterlin-Waack
521,Dr. Sahra Wagenknecht
522,Dr. Sandra Detzer
523,Dr. Sascha Raabe
524,Dr. Saskia Ludwig
525,Dr. Sebastian Schäfer
526,Dr. Silke Launert
527,Dr. Simone Raatz
528,Dr. Stefan Heck
529,Dr. Stefan Kaufmann
530,Dr. Stefan Nacke
531,Dr. Stefan Ruppert
532,Dr. Stephan Harbarth
533,Dr. Stephan Pilsinger
534,Dr. Stephan Seiter
535,Dr. Tanja Machalet
536,Dr. Thomas  Feist
537,Dr. Thomas Feist
538,Dr. Thomas Gambke
539,Dr. Thomas Gebhart
540,Dr. Thomas de Maizière
541,Dr. Thorsten Lieb
542,Dr. Thorsten Rudolph
543,Dr. Till Steffen
544,Dr. Tim Ostermann
545,Dr. Tobias Lindner
546,Dr. Ursula von der Leyen
547,Dr. Ute Finckh-Krämer
548,Dr. Valerie Wilms
549,Dr. Volker Redder
550,Dr. Volker Ullrich
551,Dr. Volker Wissing
552,Dr. Wiebke Esdar
553,Dr. Wieland Schinnenburg
554,Dr. Wilhelm Priesmeier
555,Dr. Wolfgang Gerhardt
556,Dr. Wolfgang Götzer
557,Dr. Wolfgang Schäuble
558,Dr. Wolfgang Stefinger
559,Dr. Wolfgang Strengmann-Kuhn
560,Dr. Yannick Bury
561,Dr. Zanda Martens
562,Dr. Zoe Mayer
563,Dr. h. c. (NUACA) Albert H. Weiler
564,Dr. h. c. (Univ Kyiv) Hans Michelbach
565,Dr. h. c. Albert Weiler
566,Dr. h. c. Gernot Erler
567,Dr. h. c. Hans Michelbach
568,Dr. h. c. Jürgen Koppelin
569,Dr. h. c. Susanne Kastner
570,Dr. h. c. Thomas Sattelberger
571,Dr. h. c. Wolfgang Thierse
572,Dr. h.c. Albert Weiler
573,Dr. h.c. Edelgard Bulmahn
574,Dr. h.c. Gernot Erler
575,Dr. h.c. Hans Michelbach
576,Dr. h.c. Jürgen Koppelin
577,Dr. h.c. Susanne Kastner
578,Dr. h.c. Thomas Sattelberger
579,Dr. h.c. Wolfgang Thierse
580,Dunja Kreiser
581,Eberhard Gienger
582,Eckart von Klaeden
583,Eckhard Gnodtke
584,Eckhard Pols
585,Eckhardt Rehberg
586,Edelgard Bulmahn
587,Edgar Naujok
588,Eduard Oswald
589,Ekin Deligöz
590,Elfi Scho-Antwerpes
591,Elisabeth Kaiser
592,Elisabeth Motschmann
593,Elisabeth Scharfenberg
594,Elisabeth Winkelmeier-Becker
595,Elke Ferner
596,Elke Hoff
597,Elvan Korkmaz
598,Elvan Korkmaz-Emre
599,Elvira Drobinski-Weiß
600,Emilia Fester
601,Emily Vontz
602,Emmi Zeulner
603,Enak Ferlemann
604,Enrico Komning
605,Erhard Grundl
606,Erich G. Fritz
607,Erich Irlstorfer
608,Erik von Malottki
609,Erika Steinbach
610,Ernst Burgbacher
611,Ernst Hinsken
612,Ernst-Reinhard Beck (Reutlingen)
613,Erwin Rüddel
614,Esra Limbacher
615,Esther Dilcher
616,Eugen Schmidt
617,Eva Bulling-Schröter
618,Eva-Maria Elisabeth Schreiber
619,Eva-Maria Schreiber
620,Ewa Klamt
621,Ewald Schurer
622,Fabian Funke
623,Fabian Gramling
624,Fabian Griewel
625,Fabian Jacobi
626,Fabio De Masi
627,Falko Droßmann
628,Falko Mohrs
629,Felix Banaszak
630,Felix Döring
631,Felix Schreiner
632,Filiz Polat
633,Florian Bernschneider
634,Florian Hahn
635,Florian Jäger
636,Florian Müller
637,Florian Oßner
638,Florian Post
639,Florian Pronold
640,Florian Toncar
641,Frank Bsirske
642,Frank Heinrich
643,Frank Heinrich (Chemnitz)
644,Frank Hofmann (Volkach)
645,Frank Junge
646,Frank Magnitz
647,Frank Müller-Rosentritt
648,Frank Pasemann
649,Frank Rinck
650,Frank Schwabe
651,Frank Schäffler
652,Frank Sitta
653,Frank Steffel
654,Frank Tempel
655,Frank Ullrich
656,Franz Müntefering
657,Franz Obermeier
658,Franz Thönnes
659,Franz-Josef Holzenkamp
660,Franziska Gminder
661,Franziska Hoppermann
662,Franziska Mascheck
663,Frauke Heiligenstadt
664,Frhr. Von Christian Stetten
665,Friedhelm Boginski
666,Friedrich Merz
667,Friedrich Ostendorff
668,Friedrich Straetmanns
669,Fritz Güntzler
670,Fritz Kuhn
671,Fritz Rudolf Körper
672,Gabi Weber
673,Gabriela Heinrich
674,Gabriele Fograscher
675,Gabriele Groneberg
676,Gabriele Hiller-Ohm
677,Gabriele Katzmarek
678,Gabriele Lösekrug-Möller
679,Gabriele Molitor
680,Gabriele Schmidt (Ühlingen)
681,Georg Schirmbeck
682,Gerald Ullrich
683,Gerd Bollmann
684,Gerda Hasselfeldt
685,Gereon Bollmann
686,Gerhard Drexler
687,Gerhard Johann Drexler
688,Gerhard Zickenheiner
689,Gero Storjohann
690,Gerold Otten
691,Gerold Reichenbach
692,Gerrit Huy
693,Gisela Manderla
694,Gisela Piltz
695,Gitta Connemann
696,Grigorios Aggelidis
697,Gudrun Kopp
698,Gudrun Zollner
699,Gunther Krichbaum
700,Gustav Herzog
701,Gyde Jensen
702,Gökay Akbulut
703,Gülistan Yüksel
704,Günter Baumann
705,Günter Gloser
706,Günter Lach
707,Hagen Reinhold
708,Hakan Demir
709,Halina Wawzyniak
710,Hanna Steinmüller
711,Hannes Gnauck
712,Hannes Walter
713,Hans-Christian Ströbele
714,Hans-Georg von der Marwitz
715,Hans-Joachim Fuchtel
716,Hans-Joachim Hacker
717,Hans-Joachim Otto (Frankfurt)
718,Hans-Josef Fell
719,Hans-Jürgen Irmer
720,Hans-Jürgen Thies
721,Hans-Michael Goldmann
722,Hans-Ulrich Klose
723,Hans-Werner Ehrenberg
724,Hans-Werner Kammer
725,Hansjörg Durz
726,Hansjörg Müller
727,Harald Ebner
728,Harald Koch
729,Harald Leibrecht
730,Harald Petzold (Havelland)
731,Harald Weinberg
732,Hartfrid Wolff (Rems-Murr)
733,Hartmut Ebbing
734,Hartmut Koschyk
735,Hartwig Fischer (Göttingen)
736,Heidemarie Wieczorek-Zeul
737,Heidi Reichinnek
738,Heidrun Bluhm
739,Heidrun Bluhm-Förster
740,Heidrun Dittrich
741,Heidtrud Henn
742,Heike Baehrens
743,Heike Brehmer
744,Heike Engelhardt
745,Heike Heubach
746,Heike Hänsel
747,Heiko Maas
748,Heiko Schmelzle
749,Heiner Kamp
750,Heinrich Zertik
751,Heinz Golombeck
752,Heinz Lanfermann
753,Heinz Paula
754,Heinz Wiese (Ehingen)
755,Heinz-Joachim Barchmann
756,Heinz-Peter Haustein
757,Helga Daub
758,Helga Kühn-Mengel
759,Helge Limburg
760,Helge Lindh
761,Helin Evrim Sommer
762,Helmut Brandt
763,Helmut Heiderich
764,Helmut Kleebank
765,Helmut Nowak
766,Henning Otte
767,Henning Rehbaum
768,Herbert Behrens
769,Herbert Frankenhauser
770,Hermann Färber
771,Hermann Gröhe
772,Hilde Mattheis
773,Hiltrud Lotze
774,Holger Krestel
775,Holger Mann
776,Holger Ortel
777,HonD Albert Weiler
778,Horst Meierhofer
779,Hubert Hüppe
780,Hubertus Heil (Peine)
781,Hubertus Zdebel
782,Ilse Aigner
783,Ina Latendorf
784,Ingbert Liebing
785,Inge Höger
786,Ingmar Jung
787,Ingo Bodtke
788,Ingo Egloff
789,Ingo Gädechens
790,Ingo Schäfer
791,Ingo Wellenreuther
792,Ingrid Arndt-Brauer
793,Ingrid Fischbach
794,Ingrid Hönlinger
795,Ingrid Nestle
796,Ingrid Pahlmann
797,Ingrid Remmers
798,Irene Mihalic
799,Iris Eberl
800,Iris Gleicke
801,Iris Ripsam
802,Isabel Cademartori Dujisin
803,Isabel Mackensen
804,Isabel Mackensen-Geis
805,Jakob Blankenburg
806,Jamila Schäfer
807,Jan Dieren
808,Jan Korte
809,Jan Metzler
810,Jan Mücke
811,Jan Plobner
812,Jan Ralf Nolte
813,Jan Wenzel Schmidt
814,Jan van Aken
815,Jana Schimke
816,Janine Wissler
817,Janosch Dahmen
818,Jasmina Hostert
819,Jeannine Pflugradt
820,Jens Ackermann
821,Jens Beeck
822,Jens Kestner
823,Jens Koeppen
824,Jens Lehmann
825,Jens Maier
826,Jens Peick
827,Jens Petermann
828,Jens Spahn
829,Jens Teutrine
830,Jerzy Montag
831,Jessica Rosenthal
832,Jessica Tatti
833,Jimmy Schulz
834,Joachim Günther (Plauen)
835,Joachim Hörster
836,Joachim Poß
837,Joachim Spatz
838,Joachim Wundrak
839,Joana Cotar
840,Joana Eleonora Cotar
841,Jochen Haug
842,Johann Saathoff
843,Johanna Voß
844,Johannes Arlt
845,Johannes F. Kretschmann
846,Johannes Huber
847,Johannes Kahrs
848,Johannes Pflug
849,Johannes Röring
850,Johannes Schraps
851,Johannes Schätzl
852,Johannes Selle
853,Johannes Singhammer
854,Johannes Steiniger
855,Johannes Vogel
856,Johannes Vogel (Lüdenscheid)
857,Johannes Vogel (Olpe)
858,Johannes Wagner
859,Josef Göppel
860,Josef Oster
861,Josef Philip Winkler
862,Josef Rief
863,Josephine Ortleb
864,Josip Juratovic
865,Judith Skudelny
866,Julia Bartz
867,Julia Klöckner
868,Julia Obermeier
869,Julia Verlinden
870,Julian Grünke
871,Julian Pahlke
872,Jutta Eckenbach
873,Jutta Krellmann
874,Jörg Cezanne
875,Jörg Hellmuth
876,Jörg Nürnberger
877,Jörg Schneider
878,Jörg van Essen
879,Jörg von Polheim
880,Jörn König
881,Jörn Wunderlich
882,Jürgen Berghahn
883,Jürgen Braun
884,Jürgen Coße
885,Jürgen Hardt
886,Jürgen Klimke
887,Jürgen Kretz
888,Jürgen Lenders
889,Jürgen Pohl
890,Jürgen Trittin
891,Kai Gehring
892,Kai Wegner
893,Kai Whittaker
894,Karin Binder
895,Karin Evers-Meyer
896,Karin Maag
897,Karin Roth (Esslingen)
898,Karin Strenz
899,Karl Bär
900,Karl Holmeier
901,Karl Schiewerling
902,Karl-Georg Wellmann
903,Karl-Heinz Wange
904,Karlheinz Busen
905,Karoline Otte
906,Karsten Hilse
907,Karsten Klein
908,Karsten Möring
909,Kassem Taher Saleh
910,Katharina Beck
911,Katharina Dröge
912,Katharina Kloke
913,Katharina Landgraf
914,Katharina Willkomm
915,Katherina Reiche (Potsdam)
916,Kathrin Henneberger
917,Kathrin Michel
918,Kathrin Rösel
919,Kathrin Senger-Schäfer
920,Kathrin Vogler
921,Katja Adler
922,Katja Dörner
923,Katja Hessel
924,Katja Keul
925,Katja Kipping
926,Katja Mast
927,Katja Suding
928,Katrin Albsteiger
929,Katrin Budde
930,Katrin Göring-Eckardt
931,Katrin Helling-Plahr
932,Katrin Kunert
933,Katrin Staffler
934,Katrin Uhlig
935,Katrin Werner
936,Katrin Zschau
937,Kaweh Mansoori
938,Kay Gottschalk
939,Kay-Uwe Ziegler
940,Kees de Vries
941,Kersten Steinke
942,Kerstin Andreae
943,Kerstin Griese
944,Kerstin Kassner
945,Kerstin Müller (Köln)
946,Kerstin Radomski
947,Kerstin Tack
948,Kerstin Vieregge
949,Kevin Kühnert
950,Kevin Leiser
951,Kirsten Lühmann
952,Klaus Barthel
953,Klaus Brandner
954,Klaus Breil
955,Klaus Brähmig
956,Klaus Ernst
957,Klaus Hagemann
958,Klaus Mack
959,Klaus Mindrup
960,Klaus Riegert
961,Klaus Stöber
962,Klaus-Dieter Gröhler
963,Klaus-Peter Flosbach
964,Klaus-Peter Willsch
965,Knut Abraham
966,Knut Gerschau
967,Konrad Stockmeier
968,Konstantin Elias Kuhle
969,Konstantin Kuhle
970,Kordula Kovac
971,Kordula Schulz-Asche
972,Kornelia Möller
973,Krista Sager
974,Kristina Nordt
975,Kristine Lütke
976,Lamya Kaddor
977,Lars  Lindemann
978,Lars Herrmann
979,Lars Klingbeil
980,Lars Lindemann
981,Lars Rohwer
982,Laura Kraft
983,Leif-Erik Holm
984,Lena Strothmann
985,Lena Werner
986,Leni Breymaier
987,Lennard Oehl
988,Leon Eckert
989,Linda Heitmann
990,Linda Teuteberg
991,Lisa Badum
992,Lisa Paus
993,Lorenz Gösta Beutin
994,Lothar Binding (Heidelberg)
995,Lothar Riebsamen
996,Lucia Schanbacher
997,Luise Amtsberg
998,Luiza Licina-Bode
999,Lukas Benner
1000,Macit Karaahmetoglu
1001,Macit Karaahmetoğlu
1002,Mahmut Özdemir (Duisburg)
1003,Maik Außendorf
