instance, struct, config, seed, edge_weight,current, best_batch, best,best_plus_negative_edge_weight, epochs_since_restart, current_temp, runtime_ms
bitcoinotc_signed.json, config_venus_chunks_100.json, intervals6.json, 1, 21434, 766, 761, 761, -2387, 50, 0.0000000000000005480249281554287, 5471
bitcoinotc_signed.json, config_venus_chunks_100.json, intervals14.json, 1, 21434, 785, 781, 781, -2368, 50, 0.0000000018021206734025943, 5636
bitcoinotc_signed.json, config_venus_chunks_100.json, intervals16.json, 1, 21434, 804, 804, 804, -2349, 50, 0.0000000002371976682482225, 5631
bitcoinotc_signed.json, config_venus_chunks_100.json, intervals10.json, 1, 21434, 775, 774, 774, -2378, 50, 0.0000000000008113808361320893, 5801
bitcoinotc_signed.json, config_venus_chunks_10.json, intervals8.json, 1, 21434, 776, 766, 766, -2377, 50, 0.000000000000014056520787950078, 5856
bundestag_signed.json, config_gaia_chunks_10.json, clusters6.json, 1, 397497, 11764, 11764, 11764, -64777, 50, 0, 3754
bundestag_signed.json, config_venus_chunks_100.json, clusters4.json, 1, 397497, 11737, 11736, 11736, -64804, 50, 0.06754225682330665, 4897
bundestag_signed.json, config_gaia_chunks_100.json, clusters10.json, 1, 397497, 11793, 11793, 11793, -64748, 50, 0, 6109
bundestag_signed.json, config_venus_chunks_10.json, clusters4.json, 1, 397497, 11737, 11736, 11736, -64804, 50, 0.04502366839841621, 5170
bundestag_signed.json, config_gaia_chunks_100.json, clusters6.json, 1, 397497, 11764, 11764, 11764, -64777, 50, 0, 4258
bundestag_signed.json, config_gaia_chunks_10.json, clusters10.json, 1, 397497, 11793, 11793, 11793, -64748, 50, 0, 6149
bundestag_signed.json, config_gaia_chunks_100.json, clusters8.json, 1, 397497, 11793, 11793, 11793, -64748, 50, 0, 5135
bundestag_signed.json, config_gaia_chunks_100.json, clusters12.json, 1, 397497, 11793, 11793, 11793, -64748, 50, 0, 6299
bundestag_signed.json, config_gaia_chunks_10.json, clusters8.json, 1, 397497, 11793, 11793, 11793, -64748, 50, 0, 5589
bundestag_signed.json, config_venus_chunks_100.json, clusters6.json, 1, 397497, 11736, 11736, 11736, -64805, 50, 0.04502366839841621, 6635
bundestag_signed.json, config_gaia_chunks_10.json, clusters12.json, 1, 397497, 11793, 11793, 11793, -64748, 50, 0, 7754
