instance, struct, config, seed, edge_weight,current, best_batch, best,best_plus_negative_edge_weight, epochs_since_restart, current_temp, runtime_ms
bitcoinotc_signed.json, config_gaia_chunks_10.json, intervals4.json, 3, 21434, 785, 775, 775, -2368, 50, 0, 1642
slashdot_signed.json, config_venus_chunks_10.json, intervals16.json, 2, 498532, 44746, 44698, 44698, -72853, 50, 0.0000000000018259720574489703, 259992
bitcoinotc_signed.json, config_venus_chunks_10.json, intervals4.json, 3, 21434, 855, 850, 850, -2298, 50, 0.0003465968321970311, 1510
bitcoinotc_signed.json, config_gaia_chunks_10.json, intervals8.json, 3, 21434, 811, 797, 797, -2342, 50, 0, 1182
slashdot_signed.json, config_gaia_chunks_10.json, intervals8.json, 2, 498532, 45273, 45237, 45237, -72326, 50, 0, 254507
bitcoinotc_signed.json, config_venus_chunks_10.json, intervals8.json, 3, 21434, 774, 770, 770, -2379, 50, 0.0000011856019900434576, 3455
bundestag_signed.json, config_gaia_chunks_10.json, intervals12.json, 3, 397497, 11736, 11736, 11736, -64805, 50, 0, 10811
bundestag_signed.json, config_venus_chunks_10.json, intervals12.json, 3, 397497, 11727, 11725, 11725, -64814, 50, 0.10132351758671865, 11521
bundestag_signed.json, config_gaia_chunks_10.json, intervals4.json, 3, 397497, 3820, 3819, 3819, -72721, 50, 0, 4649
wikisigned-k2_signed.json, config_gaia_chunks_10.json, intervals16.json, 1, 712337, 36756, 36722, 36722, -47581, 50, 0, 307493
bundestag_signed.json, config_gaia_chunks_10.json, intervals16.json, 3, 397497, 11737, 11736, 11736, -64804, 50, 0, 15106
bundestag_signed.json, config_venus_chunks_10.json, intervals4.json, 3, 397497, 3819, 3819, 3819, -72722, 50, 0.005926078823523769, 8579
bundestag_signed.json, config_gaia_chunks_10.json, intervals8.json, 3, 397497, 11737, 11734, 11734, -64804, 50, 0, 9464
chess_signed.json, config_gaia_chunks_10.json, intervals12.json, 3, 32650, 6638, 6612, 6612, -6966, 50, 0, 7737
slashdot_signed.json, config_venus_chunks_10.json, intervals12.json, 1, 498532, 44571, 44536, 44536, -73028, 50, 0.0000000000000000028122202750876053, 327633
chess_signed.json, config_gaia_chunks_10.json, intervals16.json, 3, 32650, 6632, 6624, 6624, -6972, 50, 0, 6960
chess_signed.json, config_gaia_chunks_10.json, intervals4.json, 3, 32650, 7426, 7409, 7409, -6178, 50, 0, 3757
bundestag_signed.json, config_venus_chunks_10.json, intervals8.json, 3, 397497, 1001, 1001, 1001, -75540, 50, 0.0005199472430198486, 17591
chess_signed.json, config_venus_chunks_10.json, intervals12.json, 3, 32650, 6512, 6487, 6487, -7092, 50, 0.000000000000004163645704709706, 13428
chess_signed.json, config_venus_chunks_10.json, intervals4.json, 3, 32650, 7335, 7305, 7305, -6269, 50, 0.000000000009247682058835016, 4709
chess_signed.json, config_venus_chunks_10.json, intervals16.json, 3, 32650, 6519, 6506, 6506, -7085, 50, 0.0000000008007823410173868, 11271
bundestag_signed.json, config_venus_chunks_10.json, intervals16.json, 3, 397497, 11706, 11704, 11704, -64835, 50, 0.0011701153081551375, 35528
chess_signed.json, config_venus_chunks_10.json, intervals8.json, 3, 32650, 6570, 6549, 6549, -7034, 50, 0.0000060045115189559134, 3757
chess_signed.json, config_gaia_chunks_10.json, intervals8.json, 3, 32650, 6679, 6661, 6661, -6925, 50, 0, 4785
elec_signed.json, config_gaia_chunks_10.json, intervals4.json, 3, 100355, 12209, 12201, 12201, -9706, 50, 0, 4730
elec_signed.json, config_venus_chunks_10.json, intervals4.json, 3, 100355, 11941, 11938, 11938, -9974, 50, 0.0000060045115189559134, 6933
elec_signed.json, config_gaia_chunks_10.json, intervals16.json, 3, 100355, 11671, 11655, 11655, -10244, 50, 0, 14056
elec_signed.json, config_venus_chunks_10.json, intervals8.json, 3, 100355, 11310, 11298, 11298, -10605, 50, 0.0002310414483425409, 7141
epinions_signed.json, config_gaia_chunks_10.json, intervals8.json, 1, 708507, 31957, 31944, 31944, -86662, 50, 0, 352642
elec_signed.json, config_venus_chunks_10.json, intervals16.json, 3, 100355, 11430, 11419, 11419, -10485, 50, 0.000000006083982284905843, 19750
elec_signed.json, config_venus_chunks_10.json, intervals12.json, 3, 100355, 11463, 11457, 11457, -10452, 50, 0.000000000020811446713607042, 22407
elec_signed.json, config_gaia_chunks_10.json, intervals8.json, 3, 100355, 11421, 11410, 11410, -10494, 50, 0, 18571
elec_signed.json, config_gaia_chunks_10.json, intervals12.json, 3, 100355, 11317, 11307, 11307, -10598, 50, 0, 28584
epinions_signed.json, config_venus_chunks_10.json, intervals8.json, 2, 708507, 35352, 35300, 35300, -83267, 50, 0.0000000000000062460931663811975, 337832
slashdot_signed.json, config_gaia_chunks_10.json, intervals16.json, 2, 498532, 45274, 45227, 45227, -72325, 50, 0, 339336
epinions_signed.json, config_gaia_chunks_10.json, intervals4.json, 2, 708507, 35718, 35712, 35712, -82901, 50, 0, 344606
slashdot_signed.json, config_gaia_chunks_10.json, intervals12.json, 2, 498532, 46128, 46091, 46091, -71471, 50, 0, 358316
epinions_signed.json, config_gaia_chunks_10.json, intervals4.json, 1, 708507, 34317, 34285, 34285, -84302, 50, 0, 397255
wikisigned-k2_signed.json, config_venus_chunks_10.json, intervals8.json, 1, 712337, 35064, 35030, 35030, -49273, 50, 0.0000000000000005480249281554287, 403015
wikisigned-k2_signed.json, config_gaia_chunks_10.json, intervals12.json, 1, 712337, 35037, 35003, 35003, -49300, 50, 0, 413655
wikisigned-k2_signed.json, config_gaia_chunks_10.json, intervals4.json, 1, 712337, 39032, 38976, 38976, -45305, 50, 0, 418501
wikisigned-k2_signed.json, config_gaia_chunks_10.json, intervals8.json, 1, 712337, 35369, 35311, 35311, -48968, 50, 0, 444694
epinions_signed.json, config_venus_chunks_10.json, intervals8.json, 1, 708507, 33163, 33129, 33129, -85456, 50, 0.00000000000000000001443106411643159, 454003
epinions_signed.json, config_gaia_chunks_10.json, intervals16.json, 1, 708507, 33970, 33923, 33923, -84649, 50, 0, 457515
wikisigned-k2_signed.json, config_venus_chunks_10.json, intervals16.json, 1, 712337, 35390, 35343, 35343, -48947, 50, 0.00000000000000277548622675949, 491014
wikiconflict_signed.json, config_gaia_chunks_10.json, intervals4.json, 1, 2014053, 141690, 141667, 141667, -1109364, 50, 0, 500654
wikisigned-k2_signed.json, config_gaia_chunks_10.json, intervals12.json, 2, 712337, 36495, 36454, 36454, -47842, 50, 0, 303462
epinions_signed.json, config_gaia_chunks_10.json, intervals12.json, 1, 708507, 32194, 32123, 32123, -86425, 50, 0, 527184
epinions_signed.json, config_venus_chunks_10.json, intervals4.json, 3, 708507, 34305, 34273, 34273, -84314, 50, 0.00000010402333556464369, 167663
wikisigned-k2_signed.json, config_venus_chunks_10.json, intervals4.json, 2, 712337, 38364, 38322, 38322, -45973, 50, 0.000000000000014056520787950078, 298110
slashdot_signed.json, config_venus_chunks_10.json, intervals4.json, 3, 498532, 54573, 54564, 54564, -63026, 50, 0.00000000010540010270513314, 143863
epinions_signed.json, config_gaia_chunks_10.json, intervals12.json, 2, 708507, 32554, 32516, 32516, -86065, 50, 0, 544211
epinions_signed.json, config_venus_chunks_10.json, intervals16.json, 1, 708507, 36941, 36897, 36897, -81678, 50, 0.000000000000000000833000501738926, 572706
slashdot_signed.json, config_venus_chunks_10.json, intervals16.json, 3, 498532, 44573, 44551, 44551, -73026, 50, 0.000000046223347527895164, 178873
slashdot_signed.json, config_gaia_chunks_10.json, intervals8.json, 3, 498532, 45308, 45289, 45289, -72291, 50, 0, 163503
wikisigned-k2_signed.json, config_gaia_chunks_10.json, intervals4.json, 2, 712337, 38949, 38927, 38927, -45388, 50, 0, 345040
epinions_signed.json, config_venus_chunks_10.json, intervals12.json, 3, 708507, 31888, 31863, 31863, -86731, 50, 0.00000003081248346209492, 251659
wikisigned-k2_signed.json, config_venus_chunks_10.json, intervals12.json, 2, 712337, 35284, 35251, 35251, -49053, 50, 0.00000000000000277548622675949, 410252
epinions_signed.json, config_gaia_chunks_10.json, intervals12.json, 3, 708507, 34433, 34432, 34432, -84186, 50, 0, 283560
slashdot_signed.json, config_gaia_chunks_10.json, intervals12.json, 3, 498532, 45140, 45124, 45124, -72459, 50, 0, 262574
bitcoinotc_signed.json, config_gaia_chunks_10.json, intervals12.json, 4, 21434, 750, 736, 736, -2403, 50, 0, 1957
slashdot_signed.json, config_venus_chunks_10.json, intervals12.json, 3, 498532, 44538, 44486, 44486, -73061, 50, 0.000000000000031633498156183934, 265902
bitcoinotc_signed.json, config_gaia_chunks_10.json, intervals16.json, 4, 21434, 777, 766, 766, -2376, 50, 0, 3689
bitcoinotc_signed.json, config_venus_chunks_10.json, intervals12.json, 4, 21434, 779, 769, 769, -2374, 50, 0.00000003081248346209492, 4925
bitcoinotc_signed.json, config_gaia_chunks_10.json, intervals4.json, 4, 21434, 831, 820, 820, -2322, 50, 0, 1648
bitcoinotc_signed.json, config_venus_chunks_10.json, intervals4.json, 4, 21434, 842, 838, 838, -2311, 50, 0.0000007903222865629688, 2462
bitcoinotc_signed.json, config_venus_chunks_10.json, intervals16.json, 4, 21434, 773, 762, 762, -2380, 50, 0.000000004055582591118235, 6032
bitcoinotc_signed.json, config_gaia_chunks_10.json, intervals8.json, 4, 21434, 768, 760, 760, -2385, 50, 0, 3022
bitcoinotc_signed.json, config_venus_chunks_10.json, intervals8.json, 4, 21434, 802, 793, 793, -2351, 50, 0.00006843619047082978, 2646
slashdot_signed.json, config_venus_chunks_10.json, intervals8.json, 3, 498532, 44728, 44674, 44674, -72871, 50, 0.000000000013872910379290454, 194329
epinions_signed.json, config_gaia_chunks_10.json, intervals8.json, 3, 708507, 31887, 31833, 31833, -86732, 50, 0, 290362
epinions_signed.json, config_venus_chunks_10.json, intervals8.json, 3, 708507, 33294, 33271, 33271, -85325, 50, 0.000000000013872910379290454, 284533
bundestag_signed.json, config_gaia_chunks_10.json, intervals16.json, 4, 397497, 11736, 11736, 11736, -64805, 50, 0, 9341
bundestag_signed.json, config_gaia_chunks_10.json, intervals4.json, 4, 397497, 3821, 3819, 3819, -72720, 50, 0, 3419
bundestag_signed.json, config_gaia_chunks_10.json, intervals12.json, 4, 397497, 11737, 11734, 11734, -64804, 50, 0, 10733
wikisigned-k2_signed.json, config_gaia_chunks_10.json, intervals8.json, 2, 712337, 36475, 36431, 36431, -47862, 50, 0, 379266
bundestag_signed.json, config_venus_chunks_10.json, intervals4.json, 4, 397497, 3819, 3819, 3819, -72722, 50, 0.003950324143760944, 7181
bundestag_signed.json, config_gaia_chunks_10.json, intervals8.json, 4, 397497, 2723, 2723, 2723, -73818, 50, 0, 6795
bundestag_signed.json, config_venus_chunks_10.json, intervals12.json, 4, 397497, 11736, 11736, 11736, -64805, 50, 0.06754225682330665, 17735
chess_signed.json, config_gaia_chunks_10.json, intervals4.json, 4, 32650, 7361, 7352, 7352, -6243, 50, 0, 2775
bundestag_signed.json, config_venus_chunks_10.json, intervals16.json, 4, 397497, 11734, 11734, 11734, -64807, 50, 0.005926078823523769, 21936
chess_signed.json, config_venus_chunks_10.json, intervals12.json, 4, 32650, 6475, 6459, 6459, -7129, 50, 0.0000000000000062460931663811975, 12643
chess_signed.json, config_gaia_chunks_10.json, intervals12.json, 4, 32650, 6615, 6580, 6580, -6989, 50, 0, 14760
bundestag_signed.json, config_venus_chunks_10.json, intervals8.json, 4, 397497, 1001, 1001, 1001, -75540, 50, 0.00010266455216146082, 16374
chess_signed.json, config_venus_chunks_10.json, intervals4.json, 4, 32650, 7352, 7343, 7343, -6252, 50, 0.000000013691698343789923, 3517
epinions_signed.json, config_gaia_chunks_10.json, intervals4.json, 3, 708507, 34310, 34293, 34293, -84309, 50, 0, 316138
epinions_signed.json, config_venus_chunks_10.json, intervals12.json, 2, 708507, 33192, 33166, 33166, -85427, 50, 0.00000000000000000000000000438848684904189, 647696
chess_signed.json, config_gaia_chunks_10.json, intervals8.json, 4, 32650, 6592, 6559, 6559, -7012, 50, 0, 6192
chess_signed.json, config_gaia_chunks_10.json, intervals16.json, 4, 32650, 6642, 6626, 6626, -6962, 50, 0, 12240
wikisigned-k2_signed.json, config_gaia_chunks_10.json, intervals16.json, 2, 712337, 36715, 36674, 36674, -47622, 50, 0, 434681
chess_signed.json, config_venus_chunks_10.json, intervals16.json, 4, 32650, 6529, 6496, 6496, -7075, 50, 0.000000000000001850139118757876, 15896
chess_signed.json, config_venus_chunks_10.json, intervals8.json, 4, 32650, 6501, 6491, 6491, -7103, 50, 0.000000000000014056520787950078, 10048
elec_signed.json, config_venus_chunks_10.json, intervals12.json, 4, 100355, 11438, 11415, 11415, -10477, 50, 0.000004002607378536012, 10558
elec_signed.json, config_gaia_chunks_10.json, intervals4.json, 4, 100355, 12827, 12811, 12811, -9088, 50, 0, 13768
elec_signed.json, config_venus_chunks_10.json, intervals16.json, 4, 100355, 11427, 11406, 11406, -10488, 50, 0.0000017785808431495014, 16352
elec_signed.json, config_venus_chunks_10.json, intervals8.json, 4, 100355, 11474, 11462, 11462, -10441, 50, 0.0000000027034513552394156, 14426
wikiconflict_signed.json, config_gaia_chunks_10.json, intervals12.json, 2, 2014053, 68556, 68517, 68517, -1182498, 50, 0, 639317
elec_signed.json, config_gaia_chunks_10.json, intervals8.json, 4, 100355, 11399, 11386, 11386, -10516, 50, 0, 17556
elec_signed.json, config_venus_chunks_10.json, intervals4.json, 4, 100355, 11958, 11946, 11946, -9957, 50, 0.00000000000000000000000974706638785627, 20396
elec_signed.json, config_gaia_chunks_10.json, intervals12.json, 4, 100355, 11416, 11409, 11409, -10499, 50, 0, 28784
elec_signed.json, config_gaia_chunks_10.json, intervals16.json, 4, 100355, 11523, 11506, 11506, -10392, 50, 0, 42806
wikisigned-k2_signed.json, config_venus_chunks_10.json, intervals16.json, 2, 712337, 35726, 35662, 35662, -48611, 50, 0.000000000000004163645704709706, 481340
wikisigned-k2_signed.json, config_venus_chunks_10.json, intervals12.json, 1, 712337, 35404, 35373, 35373, -48933, 50, 0.00000000000000000000000005001761107987434, 729176
slashdot_signed.json, config_gaia_chunks_10.json, intervals4.json, 3, 498532, 52101, 52079, 52079, -65498, 50, 0, 337687
wikiconflict_signed.json, config_venus_chunks_10.json, intervals8.json, 1, 2014053, 69477, 69447, 69447, -1181577, 50, 0.0000000000027392320093743932, 759226
wikisigned-k2_signed.json, config_venus_chunks_10.json, intervals8.json, 2, 712337, 35094, 35064, 35064, -49243, 50, 0.00000000000000000001443106411643159, 483636
wikiconflict_signed.json, config_venus_chunks_10.json, intervals8.json, 2, 2014053, 69183, 69170, 69170, -1181871, 50, 0.0000000012012936408901694, 571541
